front,back,tags
¿Qué protocolo cliente/servidor de la capa de aplicación asigna automáticamente direcciones IP y otros parámetros de red?,DHCP (Dynamic Host Configuration Protocol).,
¿Qué puerto UDP utiliza un servidor DHCP para escuchar las peticiones de los clientes?,El puerto 67 UDP.,
¿Qué puerto UDP utiliza un cliente DHCP para enviar y recibir mensajes?,El puerto 68 UDP.,
El proceso de comunicación de 4 pasos de DHCP se conoce comúnmente por el acrónimo _____.,"DORA (Discover, Offer, Request, Acknowledgement).",
¿Cuál es el propósito de un Agente de Retransmisión (DHCP Relay)?,Reenviar peticiones DHCP entre clientes y servidores que se encuentran en diferentes subredes.,
¿Qué tipo de asignación DHCP asocia permanentemente una dirección IP específica a la dirección MAC de un dispositivo?,Asignación Manual o Estática (también conocida como reserva DHCP).,
"¿Qué tipo de asignación DHCP concede una dirección IP por un período de tiempo limitado, permitiendo su reutilización?",Asignación Dinámica.,
¿Cuál es la principal desventaja de tener un único servidor DHCP sin redundancia?,Se convierte en un punto único de fallo (single point of failure).,
"""En el contexto de DHCP, ¿qué define un &#x27;ámbito&#x27; o &#x27;scope&#x27;?""",Define el conjunto de direcciones IP y parámetros de configuración que un servidor gestiona para una subred específica.,
"En el ciclo de vida de una concesión DHCP, ¿a qué porcentaje del tiempo total (T1) el cliente intenta renovar su dirección IP?",Al 50% del tiempo de concesión.,
"""Si la renovación en T1 falla, ¿a qué porcentaje del tiempo de concesión (T2) el cliente intenta un &#x27;rebinding&#x27; mediante broadcast?""",Al 87.5% del tiempo de concesión.,
¿Qué mensaje DHCP envía un cliente para buscar servidores DHCP en la red?,DHCPDISCOVER (Broadcast).,
¿Qué mensaje DHCP envía un servidor para proponer una configuración de red a un cliente?,DHCPOFFER.,
¿Qué mensaje DHCP envía un cliente para aceptar formalmente una oferta de dirección IP?,DHCPREQUEST (Broadcast).,
¿Qué mensaje DHCP envía el servidor para confirmar la asignación de una dirección IP y sus parámetros?,DHCPACK.,
"¿Qué mensaje envía un servidor DHCP para rechazar la solicitud de un cliente, por ejemplo, si la IP ya no está disponible?",DHCPNAK.,
¿Qué mensaje envía un cliente si detecta que la dirección IP ofrecida ya está en uso en la red?,DHCPDECLINE.,
¿Qué mensaje utiliza un cliente con una IP estática para solicitar únicamente parámetros de configuración como los servidores DNS?,DHCPINFORM.,
"En un paquete DHCP, el campo _____ se utiliza para identificar de forma única una transacción completa de solicitud-respuesta.",xid (Transaction ID).,
"Cuando un DHCP Relay reenvía una petición, ¿qué campo del paquete DHCP modifica para indicar su propia dirección IP?",El campo giaddr (Gateway IP Address).,
El ataque de seguridad conocido como _____ consiste en que un atacante agota todas las direcciones IP disponibles en el pool del servidor.,DHCP Starvation.,
¿Qué medida de seguridad en switches gestionables ayuda a prevenir ataques de servidores DHCP falsos (rogue servers)?,DHCP Snooping.,
¿Qué comando se utiliza en Ubuntu para actualizar la lista de paquetes y actualizar el sistema?,sudo apt update &amp;&amp; sudo apt upgrade -y,
¿Cuál es el nombre del paquete para instalar un servidor DHCP de ISC en Ubuntu?,isc-dhcp-server.,
¿En qué archivo de configuración de Netplan se define la IP estática de un servidor Ubuntu?,/etc/netplan/01-network-config.yaml (o similar).,
"Después de modificar un archivo de configuración de Netplan, ¿qué comando se debe ejecutar para aplicar los cambios?",sudo netplan apply,
¿En qué archivo se especifica la interfaz de red en la que escuchará el servidor ISC DHCP en Ubuntu?,/etc/default/isc-dhcp-server.,
Parámetro en `/etc/default/isc-dhcp-server` para especificar la interfaz de escucha IPv4.,INTERFACESv4=&quot;enp0s3&quot;,
"¿Cuál es el archivo principal de configuración para definir subredes, rangos y opciones en el servidor ISC DHCP?",/etc/dhcp/dhcpd.conf.,
"En `dhcpd.conf`, la directiva `_____` indica que este es el servidor DHCP oficial para la red.",authoritative;,
Sintaxis en `dhcpd.conf` para definir un rango de IPs dinámicas de 192.168.0.2 a 192.168.0.30.,range 192.168.0.2 192.168.0.30;,
¿Qué comando se utiliza para verificar la sintaxis del archivo `dhcpd.conf` antes de reiniciar el servicio?,sudo dhcpd -t -cf /etc/dhcp/dhcpd.conf,
Comando para reiniciar el servicio del servidor ISC DHCP en Ubuntu.,sudo systemctl restart isc-dhcp-server,
Comando para ver el estado del servicio del servidor ISC DHCP.,sudo systemctl status isc-dhcp-server,
"Para crear una reserva de IP estática en `dhcpd.conf`, se utiliza la declaración `host` junto con la dirección _____ del cliente y la directiva `fixed-address`.",hardware ethernet (MAC).,
"En un cliente Linux, ¿qué comando se utiliza para liberar y luego solicitar una nueva concesión DHCP?",sudo dhclient -r &amp;&amp; sudo dhclient,
"En un cliente Windows, ¿qué dos comandos se utilizan en secuencia para renovar una dirección IP?",ipconfig /release y luego ipconfig /renew.,
"Para configurar un DHCP Relay en Ubuntu, se debe habilitar el reenvío de paquetes. ¿Qué valor debe tener `net.ipv4.ip_forward`?",Debe tener el valor 1.,
¿Qué paquete se debe instalar en Ubuntu para configurar un agente DHCP Relay?,isc-dhcp-relay.,
"En la configuración de `isc-dhcp-relay`, ¿qué parámetro define la dirección IP del servidor DHCP al que se reenviarán las peticiones?",SERVERS.,
"Cuando se usa un DHCP Relay, ¿qué es necesario agregar a la configuración del servidor DHCP para que pueda atender a la red remota?",Se debe definir un nuevo bloque `subnet` para la red remota.,
¿Qué se debe agregar a la configuración de Netplan del servidor DHCP para que sepa cómo devolver respuestas a una subred remota a través de un relay?,Una ruta estática (`routes`) que apunte a la IP del relay como gateway (`via`).,
"En una configuración de DHCP Failover, ¿qué directiva se usa en `dhcpd.conf` para designar al servidor principal?",primary;,
"En una configuración de DHCP Failover, ¿qué directiva se usa en `dhcpd.conf` para designar al servidor secundario?",secondary;,
"En DHCP Failover, el parámetro `split` en `dhcpd.conf` se usa para configurar el _____",Balanceo de carga del pool de direcciones entre los dos servidores.,
"En una configuración de failover, los rangos de direcciones IP deben definirse dentro de un bloque `_____` para que puedan ser compartidos.",pool.,
¿En qué archivo se almacenan las concesiones de direcciones activas del servidor ISC DHCP?,/var/lib/dhcp/dhcpd.leases.,
¿Qué comando permite ver en tiempo real los logs del sistema filtrados por el demonio DHCP?,sudo tail -f /var/log/syslog | grep dhcpd,
"Antes de instalar el rol de DHCP en Windows Server, es un prerrequisito fundamental configurar una _____ en la interfaz de red del servidor.",Dirección IP estática.,
"En la consola de administración de DHCP de Windows Server, ¿dónde se crean las reservas de IP para clientes específicos?","""Haciendo clic derecho en la carpeta &#x27;Reservas&#x27; (Reservations) dentro del ámbito correspondiente.""",
"Para crear una reserva en Windows Server, se requiere el nombre de la reserva, la dirección IP a asignar y la _____ del cliente.",Dirección MAC (Dirección física).,
"En la consola de DHCP de Windows Server, la sección `_____` muestra las direcciones IP que están actualmente en uso por los clientes.",Concesiones de direcciones (Address Leases).,
"En un servidor DHCP de Windows, ¿qué asistente se utiliza para crear un nuevo conjunto de direcciones IP y opciones para una subred?","""El &#x27;Asistente para ámbito nuevo&#x27; (New Scope Wizard).""",
"""¿Qué son las &#x27;exclusiones&#x27; en un ámbito DHCP?""",Son direcciones IP o rangos de IPs dentro del pool de asignación que el servidor DHCP no debe asignar.,
¿Para qué se utilizan comúnmente las exclusiones en un servidor DHCP?,"Para reservar IPs para dispositivos críticos con configuración estática manual, como servidores o routers.",
El tiempo de concesión (`lease time`) por defecto para redes estables como oficinas suele ser de _____.,24 horas (86400 segundos).,
"Para redes dinámicas con alta rotación de dispositivos, como una cafetería, se recomienda un tiempo de concesión _____.","Corto (por ejemplo, 1 o 2 horas).",
"En Windows, ¿qué comando muestra la configuración IP completa, incluyendo el servidor DHCP que asignó la dirección?",ipconfig /all,
"""¿Cuál es la función del &#x27;Magic Cookie&#x27; (99.130.83.99) en un paquete DHCP?""",Marca el inicio del campo de opciones de longitud variable.,
"¿Qué opción DHCP se utiliza para especificar el tipo de mensaje (Discover, Offer, etc.)?",Opción 53 (DHCP Message Type).,
¿Qué opción DHCP se utiliza para que el cliente solicite un conjunto específico de parámetros de configuración?,Opción 55 (Parameter Request List).,
¿Qué opción DHCP identifica al servidor que envía un mensaje DHCPOFFER o DHCPACK?,Opción 54 (Server Identifier).,
¿Qué opción DHCP transporta la dirección de la puerta de enlace predeterminada (gateway)?,Opción 3 (Router).,
¿Qué opción DHCP se utiliza para proporcionar las direcciones de los servidores DNS?,Opción 6 (Domain Name Server).,
"En un entorno de Failover Activo-Activo (Load Balancing), ambos servidores están operativos y _____.",Comparten la responsabilidad de asignar direcciones IP del pool.,
"En un entorno de Failover Activo-Pasivo (Hot Standby), el servidor secundario solo se activa si _____.",El servidor primario falla.,
Herramienta de análisis de paquetes como _____ es útil para capturar y examinar el tráfico DHCP para solucionar problemas o detectar anomalías.,Wireshark.,
"En Wireshark, se puede utilizar el filtro de visualización `_____` para mostrar únicamente los paquetes relacionados con DHCP.",bootp.,
