Frente;Reverso;Tags
¿Qué es un centro de datos?;Instalación física diseñada para albergar sistemas de procesamiento de información: servidores, almacenamiento, redes, energía redundante, refrigeración y sistemas de seguridad. Ej: Google Iowa consume 100MW = 20,000-33,000 hogares.;centro_datos infraestructura basico
¿Cuáles son los componentes esenciales de un centro de datos?;1. Servidores y equipos de red 2. Sistemas de almacenamiento 3. Suministro eléctrico redundante (SAI) 4. Redes de comunicación redundantes 5. Sistemas de detección/control de incendios 6. Sistemas de refrigeración;centro_datos componentes basico
¿Por qué los centros de datos tienen un problema de sostenibilidad?;Consumen enormes cantidades de energía (electricidad no renovable) y generan calor residual. Esto produce emisiones de CO₂ y gases de efecto invernadero. Algunos usan generadores diesel como respaldo.;centro_datos sostenibilidad intermedio
¿Cómo mitiga Google el impacto ambiental en sus centros de datos?;Objetivo 2030: cero emisiones netas. Usan refrigeración por agua (86% extraída de fuentes con bajo riesgo de agotamiento), hormigón ecológico, gasóleo renovable y proyectos de reposición de agua (64% en 2024).;centro_datos sostenibilidad google intermedio
¿Qué diferencia fundamental hay entre Tier I y Tier IV en centros de datos?;Tier I: Sistema único de energía/refrigeración, sin redundancia. Tier IV: Dos sistemas completos redundantes simultáneos, 99.995% de disponibilidad. Tier IV es para operaciones críticas.;centro_datos tier disponibilidad comparacion intermedio
¿Qué redundancia ofrece un centro Tier II?;Configuración N+1 (componentes duplicados en algunos sistemas). Mejora disponibilidad vs Tier I pero no garantiza operación durante mantenimientos importantes.;centro_datos tier intermedio
¿Por qué la contención térmica ahorra energía en centros de datos?;Evita mezcla de aire frío/caliente. Aísla el pasillo caliente con techos/puertas, enfriando solo donde hace falta. Reduce carga de aires acondicionados y evita desperdiciar aire frío.;centro_datos refrigeracion eficiencia causal intermedio
¿Qué es un "pod" en refrigeración de centros de datos?;Fila de racks + sistema de refrigeración propio. Cada rack contiene equipos IT. Permite gestionar contención térmica a nivel de fila en lugar de toda la sala.;centro_datos refrigeracion pod basico
¿Cómo funciona la refrigeración por inmersión para IA?;Componentes electrónicos se sumergen en líquido dieléctrico que absorbe calor y lo transfiere a sistema de refrigeración. Es más eficiente energéticamente que aire o líquido tradicional para cargas de IA intensivas.;centro_datos ia refrigeracion avanzado
Diferencia entre immersion cooling y liquid cooling;Immersion: componentes sumergidos en líquido dieléctrico. Liquid: líquido circula por tuberías cerradas desde CPU a radiador. Immersion es para centros de datos; liquid cooling alcanza usuario final.;centro_datos refrigeracion comparacion avanzado
¿Qué es Cloud Computing?;Modelo que permite acceder a recursos tecnológicos (servidores, almacenamiento, apps) por Internet sin gestionar infraestructura física directamente. Características: flexible, escalable, bajo demanda. Ej: AWS, Azure.;cloud modelo_servicio basico
¿Qué modelo de negocio cambia Cloud Computing vs on-premises?;On-premises: tú compras/gestionas hardware en tu local. Cloud: el proveedor gestiona infraestructura física y tú la usas como servicio flexible/escalable.;cloud modelo_negocio comparacion intermedio
¿Cuáles son los 4 modelos de despliegue Cloud según NIST?;1. Nube Pública 2. Nube Privada 3. Nube Híbrida 4. Multinube;cloud modelo_despliegue basico
Diferencias clave: Nube Pública vs Privada;Pública: Propiedad proveedor, recursos compartidos, coste bajo, poco control, escalabilidad ilimitada. Privada: Propiedad única organización, control total, coste alto, escalabilidad limitada, ideal datos sensibles.;cloud modelo_despliegue comparacion intermedio
